pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
TFFTT,SVM,5,0.7800993048659384,0.7820901798626974,0.7800993048659384,0.7801425086068696,"[[101.   31.8]
 [ 26.6 106.2]]"
TFTFF,SVM,5,0.779367286139878,0.7843797179820019,0.779367286139878,0.7794655363253181,"[[102.4  30.4]
 [ 28.2 104.6]]"
TFTFT,SVM,5,0.79367286139878,0.7965221296129077,0.79367286139878,0.793894612283727,"[[105.8  27. ]
 [ 27.8 105. ]]"
TFTTF,SVM,5,0.7785983827493261,0.7827587708456195,0.7785983827493261,0.7786084284766045,"[[100.4  32.4]
 [ 26.4 106.4]]"
TFTTT,SVM,5,0.7590381614413392,0.7648809456118434,0.7590381614413392,0.7590561201999091,"[[ 98.8  34. ]
 [ 30.  102.8]]"
TTFFF,SVM,5,0.7702936586749893,0.7733883965941463,0.7702936586749893,0.7703226297353419,"[[ 98.6  34.2]
 [ 26.8 106. ]]"
TTFFT,SVM,5,0.7733238757270534,0.777721764079482,0.7733238757270534,0.7734382457858399,"[[ 99.8  33. ]
 [ 27.2 105.6]]"
TTFTF,SVM,5,0.7672918144417648,0.771617510743019,0.7672918144417648,0.767267230896615,"[[ 97.6  35.2]
 [ 26.6 106.2]]"
TTFTT,SVM,5,0.7703617534402042,0.7727634802607481,0.7703617534402042,0.7705977309174974,"[[101.4  31.4]
 [ 29.6 103.2]]"
TTTFF,SVM,5,0.7740785927081857,0.7757328766916894,0.7740785927081857,0.7738180959139612,"[[ 98.6  34.2]
 [ 25.8 107. ]]"
TTTFT,SVM,5,0.7823577812455668,0.7839380198295901,0.7823577812455668,0.7825100642705634,"[[102.6  30.2]
 [ 27.6 105.2]]"
TTTTF,SVM,5,0.7801191658391261,0.7855401796142217,0.7801191658391261,0.779930195810078,"[[ 99.2  33.6]
 [ 24.8 108. ]]"
TTTTT,SVM,5,0.7725890197191092,0.7743691399281876,0.7725890197191092,0.7726301718507959,"[[ 99.8  33. ]
 [ 27.4 105.4]]"
FFFFF,RFO,5,0.7197238658777121,0.7242624733407546,0.7197238658777121,0.7195868215731975,"[[60.8 23.4]
 [23.8 60.4]]"
FFFFT,RFO,5,0.7232741617357001,0.7264742880794628,0.7232741617357001,0.723444992549712,"[[60.8 23.4]
 [23.2 61. ]]"
FFFTF,RFO,5,0.7387785291631446,0.7462438659353646,0.7387785291631446,0.7377581038471595,"[[57.2 27. ]
 [17.  67.2]]"
FFFTT,RFO,5,0.7411665257819104,0.7524647373778939,0.7411665257819104,0.7395403305665595,"[[57.2 27. ]
 [16.6 67.6]]"
FFTFF,RFO,5,0.7220766413074106,0.7275459287479487,0.7220766413074106,0.721826072622499,"[[61.  23.2]
 [23.6 60.6]]"
FFTFT,RFO,5,0.751775147928994,0.7580607413170257,0.751775147928994,0.751719640809088,"[[63.4 20.8]
 [21.  63.2]]"
FFTTF,RFO,5,0.7410608622147083,0.746833937639774,0.7410608622147083,0.7406745844402028,"[[59.8 24.4]
 [19.2 65. ]]"
FFTTT,RFO,5,0.7327979712595097,0.7380769115156307,0.7327979712595097,0.732786273540195,"[[59.8 24.4]
 [20.6 63.6]]"
FTFFF,RFO,5,0.720879120879121,0.7250753642606403,0.720879120879121,0.7210130672496884,"[[60.2 24. ]
 [23.  61.2]]"
FTFFT,RFO,5,0.7244787264018033,0.7308407418788507,0.7244787264018033,0.7243805864514956,"[[60.6 23.6]
 [22.8 61.4]]"
FTFTF,RFO,5,0.7695970695970696,0.7735047358897515,0.7695970695970696,0.7696076186361884,"[[62.4 21.8]
 [17.  67.2]]"
FTFTT,RFO,5,0.7791561003099465,0.7844127291013204,0.7791561003099465,0.7790539619565345,"[[62.6 21.6]
 [15.6 68.6]]"
FTTFF,RFO,5,0.7244646379261764,0.7347561052503068,0.7244646379261764,0.7237402291601963,"[[61.4 22.8]
 [23.6 60.6]]"
FTTFT,RFO,5,0.7208932093547478,0.7280470432061378,0.7208932093547478,0.7205076288326568,"[[59.4 24.8]
 [22.2 62. ]]"
FTTTF,RFO,5,0.7469921104536489,0.7529577153127636,0.7469921104536489,0.7466264824901303,"[[59.  25.2]
 [17.4 66.8]]"
FTTTT,RFO,5,0.7339602704987321,0.7393679509538997,0.7339602704987321,0.7335846427851476,"[[59.4 24.8]
 [20.  64.2]]"
TFFFF,RFO,5,0.7673003262874167,0.7690208018606581,0.7673003262874167,0.7675039961538717,"[[101.2  31.6]
 [ 30.2 102.6]]"
TFFFT,RFO,5,0.7575372393247269,0.7595482718308434,0.7575372393247269,0.7576840974453487,"[[ 97.6  35.2]
 [ 29.2 103.6]]"
TFFTF,RFO,5,0.7440034047382608,0.7500764247869771,0.7440034047382608,0.7435186983641374,"[[ 92.2  40.6]
 [ 27.4 105.4]]"
TFFTT,RFO,5,0.7530146120017024,0.7583793818271822,0.7530146120017024,0.7526655769210264,"[[ 94.4  38.4]
 [ 27.2 105.6]]"
TFTFF,RFO,5,0.7650446871896722,0.7681787643243863,0.7650446871896722,0.7652070868840403,"[[100.   32.8]
 [ 29.6 103.2]]"
TFTFT,RFO,5,0.7552816002269827,0.7573149063818633,0.7552816002269827,0.7553781069255058,"[[ 98.2  34.6]
 [ 30.4 102.4]]"
TFTTF,RFO,5,0.7477542913888495,0.7538921307476387,0.7477542913888495,0.7471484594074473,"[[ 92.   40.8]
 [ 26.2 106.6]]"
TFTTT,RFO,5,0.7514768052205987,0.7541656697595421,0.7514768052205987,0.7515810006624158,"[[ 97.6  35.2]
 [ 30.8 102. ]]"
TTFFF,RFO,5,0.765067385444744,0.7676963134833212,0.765067385444744,0.7652829445825977,"[[101.4  31.4]
 [ 31.  101.8]]"
TTFFT,RFO,5,0.7499985813590581,0.7559683283076156,0.7499985813590581,0.7500274850699391,"[[ 98.4  34.4]
 [ 32.  100.8]]"
TTFTF,RFO,5,0.7597900411405873,0.7650513362897581,0.7597900411405873,0.7593867522711923,"[[ 94.4  38.4]
 [ 25.4 107.4]]"
TTFTT,RFO,5,0.7567853596254788,0.7596667589421509,0.7567853596254788,0.7565886490316429,"[[ 95.4  37.4]
 [ 27.2 105.6]]"
TTTFF,RFO,5,0.7402127961412966,0.7444246026937726,0.7402127961412966,0.7401690440623494,"[[97.8 35. ]
 [34.  98.8]]"
TTTFT,RFO,5,0.7394353809050929,0.7430847251808517,0.7394353809050929,0.73946474623868,"[[99.4 33.4]
 [35.8 97. ]]"
TTTTF,RFO,5,0.7560306426443468,0.7584924278237671,0.7560306426443468,0.7557149228807754,"[[ 95.2  37.6]
 [ 27.2 105.6]]"
TTTTT,RFO,5,0.7831323591998864,0.7881744128859117,0.7831323591998864,0.7828713625712479,"[[ 99.   33.8]
 [ 23.8 109. ]]"
FFFFF,MultinomialNB,5,0.7043885601577909,0.7418659527136977,0.7043885601577909,0.693942318348806,"[[45.6 38.6]
 [11.2 73. ]]"
FFFFT,MultinomialNB,5,0.6949140602986758,0.7231327073895606,0.6949140602986758,0.6858600015729766,"[[45.  39.2]
 [12.2 72. ]]"
FFFTF,MultinomialNB,5,0.6995703014933785,0.725029218220196,0.6995703014933785,0.6917509107017988,"[[46.6 37.6]
 [13.  71.2]]"
