pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
FFTFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.503332646189789,"[[25.         24.33333333]
 [24.66666667 24.66666667]]",0.503332646189789,0.509806606041113,0.5025732515228313
FFTTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5913557342128771,"[[31.66666667 17.66666667]
 [22.66666667 26.66666667]]",0.5913557342128771,0.5923474550001365,0.5901889380121546
FFTTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.58438122723837,"[[31.         18.33333333]
 [22.66666667 26.66666667]]",0.58438122723837,0.5851949445640993,0.5836116119029284
FTFFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5338418195561053,"[[28.         21.33333333]
 [24.66666667 24.66666667]]",0.5338418195561053,0.5371652015747479,0.533905918380312
FTFFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5641448498591356,"[[28.33333333 21.        ]
 [22.         27.33333333]]",0.5641448498591356,0.5705370668866365,0.563743248691785
FTFTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5066652923795781,"[[25.66666667 23.66666667]
 [25.         24.33333333]]",0.5066652923795781,0.5125460629644146,0.5055663407613619
FTFTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5542843399986257,"[[29.33333333 20.        ]
 [24.         25.33333333]]",0.5542843399986257,0.5593490389630399,0.5535683056677573
FTTFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5641104926819213,"[[29.66666667 19.66666667]
 [23.33333333 26.        ]]",0.5641104926819213,0.5669232748302515,0.5637363629486721
FTTFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5980897409468838,"[[29.33333333 20.        ]
 [19.66666667 29.66666667]]",0.5980897409468838,0.5992163190534221,0.598304601483298
FTTTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5944822373393802,"[[31.66666667 17.66666667]
 [22.33333333 27.        ]]",0.5944822373393802,0.5951559790964828,0.5933910026923295
FTTTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6014567443138872,"[[30.33333333 19.        ]
 [20.33333333 29.        ]]",0.6014567443138872,0.6069365263136027,0.6013506269332004
TFFFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5966279712548369,"[[43.66666667 23.66666667]
 [30.66666667 36.66666667]]",0.5966279712548369,0.5985119430214767,0.5953228194380756
TFFFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.569172655242307,"[[41.66666667 25.66666667]
 [32.33333333 35.        ]]",0.569172655242307,0.568914901145409,0.5674791153965453
TFFTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5792703150912106,"[[43.         24.33333333]
 [32.33333333 35.        ]]",0.5792703150912106,0.5836043269090734,0.5767132889039203
TFFTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5373318592224064,"[[35.33333333 32.        ]
 [30.33333333 37.        ]]",0.5373318592224064,0.5372217356105804,0.536607713871991
TFTFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5593882439653584,"[[40.33333333 27.        ]
 [32.33333333 35.        ]]",0.5593882439653584,0.5639902246400949,0.5582555440739937
TFTFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5421595725078312,"[[40.33333333 27.        ]
 [34.66666667 32.66666667]]",0.5421595725078312,0.547740349248918,0.5375678403394409
TFTTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5891837110742584,"[[42.66666667 24.66666667]
 [30.66666667 36.66666667]]",0.5891837110742584,0.5912621238066594,0.5877184573635869
TFTTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5198820711258522,"[[31.66666667 35.66666667]
 [29.         38.33333333]]",0.5198820711258522,0.5214297715137737,0.5185968557746823
TTFFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5420305878017321,"[[38.         29.33333333]
 [32.33333333 35.        ]]",0.5420305878017321,0.5434195915491264,0.5415345585455543
TTFFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5717154965911185,"[[41.66666667 25.66666667]
 [32.         35.33333333]]",0.5717154965911185,0.5748455311409967,0.5705170666653285
TTFTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5890547263681593,"[[43.         24.33333333]
 [31.         36.33333333]]",0.5890547263681593,0.5923785885649994,0.5878835494134752
TTFTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5570480928689884,"[[37.66666667 29.66666667]
 [30.         37.33333333]]",0.5570480928689884,0.5568952772254026,0.5567603864696631
TTTFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5569559609360604,"[[38.66666667 28.66666667]
 [31.         36.33333333]]",0.5569559609360604,0.5612095411131873,0.5556212621430298
TTTFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.571826054910632,"[[37.66666667 29.66666667]
 [28.         39.33333333]]",0.571826054910632,0.5750431818721946,0.571122630044424
TTTTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5421595725078312,"[[38.66666667 28.66666667]
 [33.         34.33333333]]",0.5421595725078312,0.5454108916273672,0.5404167627331525
TTTTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5174129353233831,"[[35.66666667 31.66666667]
 [33.33333333 34.        ]]",0.5174129353233831,0.5205870980128724,0.5158928859281535
FFFFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6519274376417233,"[[23.33333333 26.        ]
 [ 8.33333333 41.        ]]",0.6519274376417233,0.6743750106278217,0.6400657223606169
FFFFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6013536727822442,"[[19.66666667 29.66666667]
 [ 9.66666667 39.66666667]]",0.6013536727822442,0.6544024610944801,0.5782326961770908
FFFTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.58438122723837,"[[12.33333333 37.        ]
 [ 4.         45.33333333]]",0.58438122723837,0.663646734387758,0.5305688104565768
FFFTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5910121624407338,"[[19.33333333 30.        ]
 [10.33333333 39.        ]]",0.5910121624407338,0.6428970531129998,0.5549753225572478
